epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,13776.5,0.51093,0.66116,1.0304,0.6543,0.77275,0.69331,0.54625,0.93359,1.26343,1.38028,0.00040505,0.00040505,0.00040505
114,13897.7,0.50907,0.68061,1.01982,0.71789,0.67368,0.70148,0.56638,0.99539,1.29273,1.4004,0.000400551,0.000400551,0.000400551
115,14020.5,0.48328,0.63975,1.00806,0.71809,0.63433,0.71854,0.53455,0.99577,1.23247,1.39268,0.000396051,0.000396051,0.000396051
116,14143.5,0.49945,0.65991,1.01895,0.60931,0.7284,0.70601,0.52531,1.00554,1.21201,1.40635,0.000391552,0.000391552,0.000391552
117,14267.1,0.47145,0.62768,1.0084,0.68427,0.58781,0.69324,0.5237,0.97836,1.26162,1.38571,0.000387052,0.000387052,0.000387052
118,14390.4,0.492,0.6363,1.01016,0.56419,0.85303,0.7223,0.55144,0.96793,1.2227,1.38461,0.000382553,0.000382553,0.000382553
119,14515.5,0.47739,0.61362,1.01257,0.74848,0.78142,0.72227,0.57051,0.9969,1.18203,1.39594,0.000378053,0.000378053,0.000378053
120,14639,0.48096,0.63602,1.00512,0.62873,0.79898,0.7216,0.57064,1.05037,1.16578,1.44123,0.000373554,0.000373554,0.000373554
121,14760.7,0.4855,0.6301,1.00707,0.63319,0.81333,0.70882,0.54864,1.05652,1.22144,1.45416,0.000369054,0.000369054,0.000369054
122,14882.7,0.48021,0.62065,1.00773,0.78085,0.64891,0.72829,0.57475,0.99186,1.15283,1.41226,0.000364554,0.000364554,0.000364554
123,15004.2,0.49551,0.6726,1.02412,0.72477,0.79803,0.73696,0.59193,0.98217,1.13585,1.41834,0.000360055,0.000360055,0.000360055
124,15128.4,0.47656,0.61761,0.99939,0.81308,0.73869,0.77051,0.60111,1.02489,1.21467,1.44081,0.000355555,0.000355555,0.000355555
125,15251.1,0.49019,0.62195,1.00846,0.75081,0.80108,0.73502,0.57259,1.01254,1.19072,1.44484,0.000351056,0.000351056,0.000351056
126,15376.1,0.46318,0.59783,0.9889,0.73892,0.82111,0.7535,0.57907,0.99454,1.1356,1.43982,0.000346556,0.000346556,0.000346556
127,15500.4,0.468,0.60534,0.99795,0.81066,0.76945,0.73664,0.56526,0.99784,1.19939,1.43427,0.000342057,0.000342057,0.000342057
128,15622.2,0.46169,0.64487,1.00843,0.77452,0.799,0.72225,0.55998,0.98053,1.22026,1.40655,0.000337557,0.000337557,0.000337557
129,15747.5,0.46301,0.61539,1.00436,0.75636,0.79388,0.71903,0.56141,0.99018,1.2558,1.41869,0.000333058,0.000333058,0.000333058
130,15872.7,0.45916,0.56649,0.99089,0.71132,0.76996,0.70985,0.565,0.98632,1.25052,1.4389,0.000328558,0.000328558,0.000328558
131,15996.8,0.4764,0.58516,0.99918,0.65198,0.80146,0.7123,0.55446,0.93426,1.15322,1.38681,0.000324058,0.000324058,0.000324058
132,16118.4,0.45808,0.60248,0.99691,0.62814,0.80433,0.6992,0.5545,0.94253,1.1403,1.37908,0.000319559,0.000319559,0.000319559
133,16240.3,0.45413,0.56615,0.98698,0.7382,0.78092,0.71917,0.55402,0.9587,1.17088,1.38776,0.000315059,0.000315059,0.000315059
134,16363.5,0.43861,0.57093,0.9926,0.72219,0.82365,0.71233,0.54138,0.97801,1.18152,1.42555,0.00031056,0.00031056,0.00031056
135,16485.6,0.44987,0.57128,0.98009,0.68822,0.74104,0.70916,0.54255,0.94039,1.16484,1.4101,0.00030606,0.00030606,0.00030606
136,16606,0.46862,0.60819,1.00353,0.64267,0.81831,0.7126,0.55347,0.91519,1.11855,1.39451,0.000301561,0.000301561,0.000301561
137,16727.6,0.47391,0.5803,0.99063,0.71785,0.80159,0.73273,0.56856,0.92175,1.10831,1.39071,0.000297061,0.000297061,0.000297061
138,16847.5,0.44242,0.57147,0.99206,0.71535,0.79626,0.72628,0.56539,0.97932,1.13094,1.4204,0.000292562,0.000292562,0.000292562
139,16970,0.46727,0.62994,0.99534,0.73901,0.80762,0.73257,0.57612,0.96523,1.14817,1.39444,0.000288062,0.000288062,0.000288062
140,17091.4,0.44212,0.57183,0.98045,0.78125,0.78242,0.73834,0.57139,0.97228,1.17594,1.37861,0.000283563,0.000283563,0.000283563
141,17213.4,0.45152,0.59042,0.99948,0.74432,0.79305,0.73922,0.56792,1.01501,1.17749,1.43492,0.000279063,0.000279063,0.000279063
142,17336,0.43861,0.57978,0.9963,0.71469,0.80201,0.73019,0.56504,0.96479,1.14151,1.41022,0.000274563,0.000274563,0.000274563
143,17460.4,0.45061,0.58205,0.98869,0.60699,0.84337,0.7258,0.56813,0.96646,1.15938,1.41219,0.000270064,0.000270064,0.000270064
144,17586.3,0.43374,0.55961,0.97142,0.66872,0.80423,0.73592,0.57486,0.95076,1.0928,1.40558,0.000265564,0.000265564,0.000265564
145,17718.1,0.43247,0.55909,0.98609,0.73475,0.79163,0.73833,0.58256,0.96582,1.11163,1.42674,0.000261065,0.000261065,0.000261065
146,17843.7,0.43426,0.54115,0.97604,0.7561,0.79055,0.75029,0.58318,0.9865,1.14425,1.46578,0.000256565,0.000256565,0.000256565
147,17967.2,0.43675,0.55979,0.98306,0.70707,0.80159,0.71424,0.55842,0.98891,1.19423,1.48774,0.000252066,0.000252066,0.000252066
148,18091.2,0.43967,0.56964,0.97882,0.7316,0.79949,0.7154,0.55538,1.00539,1.20394,1.49183,0.000247566,0.000247566,0.000247566
